Date and Time:                Fri May 23 20:37:11.967 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
1036,3857	22
1036,9246	24
1037,4634	34
1038,0022	22
1038,5411	15
1039,0801	8
1039,6189	27
1040,158	22
1040,6969	36
1041,236	33
1041,7749	31
1042,314	39
1042,853	13
1043,3922	30
1043,9313	20
1044,4705	36
1045,0096	38
1045,5488	27
1046,088	23
1046,6273	36
1047,1666	21
1047,7059	25
1048,2452	27
1048,7845	39
1049,324	23
1049,8633	31
1050,4027	38
1050,9421	28
1051,4817	33
1052,0211	23
1052,5607	30
1053,1002	41
1053,6398	27
1054,1793	23
1054,719	33
1055,2587	31
1055,7983	27
1056,338	14
1056,8777	44
1057,4175	41
1057,9572	28
1058,4969	27
1059,0367	23
1059,5767	26
1060,1165	35
1060,6564	9
1061,1963	29
1061,7362	11
1062,2761	30
1062,8162	14
1063,3562	7
1063,8962	21
1064,4363	36
1064,9763	26
1065,5165	28
1066,0565	31
1066,5967	14
1067,1368	30
1067,6771	41
1068,2173	23
1068,7576	30
1069,2979	22
1069,8381	32
1070,3784	33
1070,9188	15
1071,4591	23
1071,9995	51
1072,5399	18
1073,0804	28
1073,6208	16
1074,1614	36
1074,7019	9
1075,2424	42
1075,783	32
1076,3236	14
1076,8643	30
1077,4048	29
1077,9456	33
1078,4862	23
1079,0269	22
1079,5676	31
1080,1084	29
1080,6492	6
1081,1899	25
1081,7308	31
1082,2717	23
1082,8126	27
1083,3535	28
1083,8944	23
1084,4353	38
1084,9763	56
1085,5173	34
1086,0583	12
1086,5994	34
1087,1405	18
1087,6816	15
1088,2228	45
1088,7639	23
1089,3051	3
1089,8462	37
1090,3875	36
1090,9287	-2
1091,47	41
1092,0112	20
1092,5526	12
1093,094	24
1093,6354	24
1094,1768	18
1094,7181	13
1095,2595	14
